#1 NO GUESSING REQUIRED
0,0,0,0,0,0,0,1,0,
4,0,0,0,0,0,0,0,0,
0,2,0,0,0,0,0,0,0,
0,0,0,0,5,0,4,0,7,
0,0,8,0,0,0,3,0,0,
0,0,1,0,9,0,0,0,0,
3,0,0,4,0,0,2,0,0,
0,5,0,1,0,0,0,0,0,
0,0,0,8,0,6,0,0,0,

#2 NO GUESSING REQUIRED
0,0,0,0,6,1,0,3,0,
5,7,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
0,2,0,7,0,0,0,0,0,
0,0,0,0,0,0,0,1,7,
0,0,0,0,0,0,8,0,0,
0,0,0,4,2,0,9,0,0,
1,0,6,0,0,0,0,0,0,
3,0,0,5,0,0,0,0,0,

#3
0,0,0,6,8,0,4,0,0,
9,0,2,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,
0,0,0,0,2,9,0,7,0,
0,1,0,0,0,0,3,0,0,
0,0,0,0,0,0,0,0,0,
0,3,0,4,0,0,5,0,0,
6,0,0,0,0,0,0,9,0,
0,0,0,3,0,0,0,0,0,

#4 NO GUESSING REQUIRED
0,2,0,0,0,0,0,0,3,
0,0,0,0,1,0,0,0,0,
0,0,0,0,9,0,0,0,0,
0,0,0,0,0,0,1,2,0,
0,0,0,2,0,0,4,0,0,
0,5,0,0,0,7,0,0,0,
1,0,0,0,0,0,9,6,0,
0,0,0,3,0,0,0,0,5,
4,0,9,0,0,0,0,0,0,

#5 NO GUESSING REQUIRED
1,0,0,0,0,3,7,0,0,
0,6,0,2,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
0,0,2,0,0,5,0,0,0,
0,0,0,0,1,0,6,0,0,
0,4,0,0,0,0,0,0,0,
7,0,0,8,9,0,0,0,0,
0,0,0,4,0,0,0,2,0,
6,0,0,0,0,0,0,5,0,

#6
3,0,1,4,0,0,5,0,0,
0,0,0,0,9,0,0,2,0,
6,0,0,0,0,0,0,0,0,
0,2,0,0,0,1,0,7,0,
0,0,0,3,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,
0,0,0,6,0,0,3,0,0,
0,7,0,0,2,0,0,0,0,
0,8,0,0,0,0,0,0,0,

#7
5,0,0,8,4,0,0,0,0,
0,2,0,0,0,0,9,0,0,
0,0,0,0,0,0,0,0,0,
0,6,0,0,2,9,0,0,0,
0,0,7,0,0,0,0,8,1,
0,0,0,3,0,0,0,0,0,
0,0,0,0,6,0,2,0,0,
0,0,8,5,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,

#8
6,0,1,3,0,0,0,0,0,
0,4,0,0,0,0,2,5,0,
0,0,0,0,0,0,0,0,0,
8,5,0,0,0,0,3,0,0,
0,0,0,0,0,1,0,0,7,
0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,1,6,
0,0,0,5,2,0,0,0,0,
0,0,0,0,4,0,0,0,0,


( Three others that I didn't convert. )
706090000000030500000000400900000073000502000100000000058400000000000090020000000

801200000000070600000000000000500008400000050000060000000108020076000400030000000

980500000000000610000000000037080000000600200010000000400000905000031000200000000
